Title,Genre,Premiere,Runtime,IMDB Score,Language
David Attenborough: A Life on Our Planet,Documentary,4-Oct-20,83,9,English
Emicida: AmarElo - It's All For Yesterday,Documentary,8-Dec-20,89,8.6,Portuguese
Springsteen on Broadway,One-man show,16-Dec-18,153,8.5,English
Ben Platt: Live from Radio City Music Hall,Concert Film,20-May-20,85,8.4,English
Taylor Swift: Reputation Stadium Tour,Concert Film,31-Dec-18,125,8.4,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,9-Oct-15,91,8.4,English/Ukranian/Russian
Cuba and the Cameraman ,Documentary,24-Nov-17,114,8.3,English
Dancing with the Birds,Documentary,23-Oct-19,51,8.3,English
13th,Documentary,7-Oct-16,100,8.2,English
Disclosure: Trans Lives on Screen,Documentary,19-Jun-20,107,8.2,English
Klaus,Animation/Christmas/Comedy/Adventure,15-Nov-19,97,8.2,English
Seaspiracy,Documentary,24-Mar-21,89,8.2,English
The Three Deaths of Marisela Escobedo,Documentary,14-Oct-20,109,8.2,Spanish
Chasing Coral ,Documentary,14-Jul-17,89,8.1,English
My Octopus Teacher,Documentary,7-Sep-20,85,8.1,English
Rising Phoenix,Documentary,26-Aug-20,106,8.1,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,21-Dec-18,105,8,English
A Secret Love,Documentary,29-Apr-20,82,7.9,English
Icarus,Documentary,4-Aug-17,120,7.9,English
Marriage Story,Drama,6-Dec-19,136,7.9,English
The Ivory Game,Documentary,4-Nov-16,112,7.9,English
If Anything Happens I Love You,Animation / Short,20-Nov-20,12,7.8,English
The Irishman,Crime drama,27-Nov-19,209,7.8,English
The Trial of the Chicago 7,Drama,16-Oct-20,130,7.8,English
Anima,Musical / Short,27-Jun-19,15,7.7,English
Beasts of No Nation,War drama,16-Oct-15,136,7.7,English/Akan
Brene Brown: The Call to Courage,Documentary,19-Apr-19,76,7.7,English
Crip Camp: A Disability Revolution,Documentary,25-Mar-20,108,7.7,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,17-Nov-17,94,7.7,English
Justin Timberlake + The Tennessee Kids,Concert Film,12-Oct-16,90,7.7,English
Road to Roma,Making-of,11-Feb-20,72,7.7,Spanish
Roma,Drama,14-Dec-18,135,7.7,Spanish
Athlete A,Documentary,24-Jun-20,104,7.6,English
Ludo,Anthology/Dark comedy,12-Nov-20,149,7.6,Hindi
Quincy,Documentary,21-Sep-18,124,7.6,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,12-Jun-19,144,7.6,English
Tell Me Who I Am,Documentary,18-Oct-19,85,7.6,English
The Bleeding Edge,Documentary,27-Jul-18,100,7.6,English
The Social Dilemma,Documentary,9-Sep-20,94,7.6,English
The Two Popes,Drama,20-Dec-19,125,7.6,English
"What Happened, Miss Simone?",Documentary,26-Jun-15,84,7.6,English
Yeh Ballet,Drama,21-Feb-20,117,7.6,Hindi
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,22-Nov-17,108,7.5,English
Blackpink: Light Up the Sky,Documentary,14-Oct-20,79,7.5,Korean
City of Joy,Documentary,7-Sep-18,74,7.5,English
Dick Johnson Is Dead,Documentary,2-Oct-20,90,7.5,English
Homecoming: A Film by Beyonce ,Documentary,17-Apr-19,137,7.5,English
Invader Zim: Enter the Florpus,Animation / Science Fiction,16-Aug-19,71,7.5,English
Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,English
John Mulaney & the Sack Lunch Bunch,Variety show,24-Dec-19,70,7.5,English
Reversing Roe,Documentary,13-Sep-18,99,7.5,English
The White Helmets,Documentary,September 16. 2016,40,7.5,English
American Factory,Documentary,21-Aug-19,110,7.4,English
Fire in Paradise,Documentary,1-Nov-19,39,7.4,English
Long Shot,Documentary,29-Sep-17,40,7.4,English
Miss Americana,Documentary,31-Jan-20,85,7.4,English
Period. End of Sentence.,Documentary,12-Feb-19,26,7.4,English/Hindi
Shawn Mendes: Live in Concert,Concert Film,25-Nov-20,87,7.4,English
Shirkers,Documentary,26-Oct-18,97,7.4,English
The Black Godfather,Documentary,7-Jun-19,118,7.4,English
The Irishman: In Conversation,Aftershow / Interview,27-Nov-19,23,7.4,English
The Speed Cubers,Documentary,29-Jul-20,40,7.4,English
They'll Love Me When I'm Dead,Documentary,2-Nov-18,98,7.4,English
Tig,Documentary,17-Jul-15,80,7.4,English
Dolemite Is My Name,Biopic,25-Oct-19,118,7.3,English
El Camino: A Breaking Bad Movie,Crime drama,11-Oct-19,121,7.3,English
Extremis,Documentary,13-Sep-16,24,7.3,English
Father Soldier Son,Documentary,17-Jul-20,100,7.3,English
Get Me Roger Stone,Documentary,12-May-17,101,7.3,English
I'm No Longer Here,Drama,27-May-20,105,7.3,Spanish
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,8-Jul-20,96,7.3,Spanish/English
Octonauts & the Great Barrier Reef,Animation,13-Oct-20,47,7.3,English
Okja,Action-adventure,28-Jun-17,121,7.3,English/Korean
On My Skin,Crime drama,12-Sep-18,100,7.3,Italian
Raat Akeli Hai,Thriller,31-Jul-20,149,7.3,Hindi
ReMastered: Massacre at the Stadium,Documentary,11-Jan-19,64,7.3,English/Spanish
ReMastered: The Two Killings of Sam Cooke,Documentary,8-Feb-19,64,7.3,English
Secrets of the Saqqara Tomb,Documentary,28-Oct-20,114,7.3,English/Arabic
Sitara: Let Girls Dream,Animation / Short,8-Mar-20,15,7.3,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,14-Oct-16,79,7.3,English/Mandarin
Team Foxcatcher,Documentary,29-Apr-16,90,7.3,English/Russian
The Ballad of Buster Scruggs,Western,16-Nov-18,132,7.3,English
The Death and Life of Marsha P. Johnson,Documentary,6-Oct-17,105,7.3,English
The Fundamentals of Caring,Comedy-drama,24-Jun-16,97,7.3,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,22-May-15,83,7.3,English
American Murder: The Family Next Door,Documentary,30-Sep-20,82,7.2,English
Audrie & Daisy,Documentary,23-Sep-16,98,7.2,English
First They Killed My Father,Drama,15-Sep-17,136,7.2,Khmer/English/French
Fyre: The Greatest Party That Never Happened,Documentary,18-Jan-19,97,7.2,English
Into the Inferno,Documentary,28-Oct-16,107,7.2,English
LA Originals,Documentary,10-Apr-20,92,7.2,English
Ladies First,Documentary,8-Mar-18,39,7.2,English/Hindi
Love per Square Foot,Romantic comedy,14-Feb-18,133,7.2,Hindi
Paddleton,Drama-Comedy,22-Feb-19,89,7.2,English
Private Life,Drama,5-Oct-18,124,7.2,English
Seventeen,Coming-of-age comedy-drama,18-Oct-19,99,7.2,Spanish
Sometimes,Drama,1-May-18,101,7.2,Tamil
Soni,Crime drama,18-Jan-19,97,7.2,Hindi
The 40-Year-Old Version,Comedy,9-Oct-20,124,7.2,English
The Disciple,Drama,30-Apr-21,129,7.2,Marathi
The Edge of Democracy,Documentary,19-Jun-19,121,7.2,Portuguese
The King,Historical drama,1-Nov-19,140,7.2,English
The Road to El Camino: A Breaking Bad Movie,Making-of,29-Oct-19,13,7.2,English
The Siege of Jadotville,War,7-Oct-16,108,7.2,English
Zion ,Documentary,10-Aug-18,11,7.2,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,26-Jan-17,36,7.1,English
Angela's Christmas,Animation,30-Nov-18,30,7.1,English
Angela's Christmas Wish,Animation,1-Dec-20,47,7.1,English
Beats,Drama,19-Jun-19,110,7.1,English
Circus of Books,Documentary,22-Apr-20,92,7.1,English
Dance Dreams: Hot Chocolate Nutcracker,Documentary,27-Nov-20,80,7.1,English
Derren Brown: Sacrifice,Mentalism special,19-Oct-18,49,7.1,English
El Pepe: A Supreme Life,Documentary,27-Dec-19,73,7.1,Spanish
End Game,Documentary,4-May-18,40,7.1,English
Evelyn,Documentary,10-Sep-19,96,7.1,English
Ferry,Crime drama,14-May-21,106,7.1,Dutch
Grass Is Greener,Documentary,20-Apr-19,97,7.1,English
Guillermo Vilas: Settling the Score,Documentary,27-Oct-20,94,7.1,Spanish
Joshua: Teenager vs. Superpower,Documentary,26-May-17,78,7.1,English
Keith Richards: Under the Influence,Documentary,18-Sep-15,81,7.1,English
Knock Down the House,Documentary,1-May-19,87,7.1,English
Loudon Wainwright III: Surviving Twin,One-man show,13-Nov-18,91,7.1,English
My Beautiful Broken Brain,Documentary,18-Mar-16,91,7.1,English
One of Us,Documentary,20-Oct-17,95,7.1,English
Pieces of a Woman,Drama,7-Jan-21,126,7.1,English
"Ram Dass, Going Home",Documentary,6-Apr-18,31,7.1,English
ReMastered: Tricky Dick & the Man in Black,Documentary,2-Nov-18,58,7.1,English
Rooting for Roona,Documentary,15-Oct-20,41,7.1,Bengali
The Devil All the Time,Psychological thriller,16-Sep-20,138,7.1,English
The Dig,Drama,29-Jan-21,112,7.1,English
The Great Hack,Documentary,24-Jul-19,114,7.1,English
The White Tiger,Drama,22-Jan-21,125,7.1,English
To All the Boys I've Loved Before,Romantic comedy,17-Aug-18,99,7.1,English
Feminists: What Were They Thinking?,Documentary,12-Oct-18,86,7,English
Gaga: Five Foot Two,Documentary,22-Sep-17,100,7,English
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,3-Nov-20,14,7,English
Kingdom of Us,Documentary,13-Oct-17,109,7,English
"Lorena, Light-Footed Woman",Documentary,20-Nov-19,28,7,Spanish
Los Tigres del Norte at Folsom Prison,Documentary,15-Sep-19,64,7,Spanish
Ma Rainey's Black Bottom,Drama,18-Dec-20,94,7,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,18-Dec-20,31,7,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,17-Mar-21,99,7,English
Pele,Documentary,23-Feb-21,108,7,English
ReMastered: Devil at the Crossroads,Documentary,26-Apr-19,48,7,English
ReMastered: The Lion's Share,Documentary,17-May-19,84,7,English
ReMastered: The Miami Showband Massacre,Documentary,22-Mar-19,70,7,English
Resurface,Documentary,1-Sep-17,27,7,English
Rocko's Modern Life: Static Cling,Animation / Comedy,9-Aug-19,45,7,English
Rose Island,Comedy,9-Dec-20,117,7,Italian
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,22-Nov-18,104,7,English
The Dirt,Biopic,22-Mar-19,108,7,English
The Night Comes for Us,Action-thriller,19-Oct-18,121,7,Indonesian
AK vs AK,Thriller,24-Dec-20,108,6.9,Hindi
Amanda Knox,Documentary,30-Sep-16,92,6.9,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,8-Oct-20,100,6.9,French
Biggie: I Got a Story to Tell,Documentary,1-Mar-21,97,6.9,English
Cops and Robbers,Animation / Short,28-Dec-20,7,6.9,English
I Don't Feel at Home in This World Anymore,Drama,24-Feb-17,96,6.9,English
Laerte-se,Documentary,19-May-17,100,6.9,Portuguese
Mank,Biopic,4-Dec-20,132,6.9,English
Our Souls at Night,Romance,29-Sep-17,103,6.9,English
Outlaw King,Historical-epic,9-Nov-18,121,6.9,English
Pagglait,Comedy-drama,26-Mar-21,114,6.9,Hindi
ReMastered: Who Shot the Sheriff?,Documentary,12-Oct-18,57,6.9,English
Seeing Allred,Documentary,9-Feb-18,95,6.9,English
Spelling the Dream,Documentary,3-Jun-20,83,6.9,English
The Claudia Kishi Club,Documentary,10-Jul-20,17,6.9,English
The Half of It,Romance,1-May-20,105,6.9,English
The Highwaymen,Crime drama,29-Mar-19,131,6.9,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,23-May-19,30,6.9,English
The Meyerowitz Stories (New and Selected),Comedy-drama,13-Oct-17,112,6.9,English
22-Jul,Drama,10-Oct-18,144,6.8,English
7 aÒos,Drama,28-Oct-16,76,6.8,Spanish
A Futile and Stupid Gesture,Biographical/Comedy,26-Jan-18,101,6.8,English
A Life of Speed: The Juan Manuel Fangio Story,Documentary,20-Mar-20,92,6.8,Spanish
A Love Song for Latasha,Documentary,21-Sep-20,19,6.8,English
All in My Family,Documentary,3-May-19,39,6.8,English/Mandarin
Always Be My Maybe,Romantic comedy,31-May-19,102,6.8,English
Becoming,Documentary,6-May-20,89,6.8,English
Long Live Brij Mohan,Comedy,3-Aug-18,105,6.8,Hindi
Calibre,Thriller,29-Jun-18,101,6.8,English
Death to 2020,Comedy,27-Dec-20,70,6.8,English
GIMS: On the Record,Documentary,17-Sep-20,96,6.8,French
Have a Good Trip: Adventures in Psychedelics,Documentary,11-May-20,85,6.8,English
Heroin(e) ,Documentary,12-Sep-17,39,6.8,English
Mercury 13,Documentary,20-Apr-18,79,6.8,English
Saving Capitalism,Documentary,21-Nov-17,73,6.8,English
Serious Men,Drama,2-Oct-20,114,6.8,Hindi
The Boys in the Band,Drama,30-Sep-20,121,6.8,English
The Boys in the Band: Something Personal,Aftershow / Interview,30-Sep-20,28,6.8,English
The Life Ahead,Drama,13-Nov-20,95,6.8,Italian
The Other Side of the Wind,Drama,2-Nov-18,122,6.8,English
The Trader,Documentary,9-Feb-18,23,6.8,Georgian
To the Bone,Drama,14-Jul-17,107,6.8,English
Tony Parker: The Final Shot,Documentary,6-Jan-21,98,6.8,French
A Whisker Away,Anime/Fantasy,18-Jun-20,104,6.7,Japanese
Ajeeb Daastaans,Drama,16-Apr-21,142,6.7,Hindi
Arlo the Alligator Boy,Animated musical comedy,16-Apr-21,92,6.7,English
"Bikram: Yogi, Guru, Predator",Documentary,20-Nov-19,86,6.7,English
Blame!,Anime/Science fiction,20-May-17,106,6.7,Japanese
Blue Miracle,Drama,27-May-21,95,6.7,English
CounterPunch ,Documentary,16-Jun-17,91,6.7,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,11-Jan-21,89,6.7,English
Extraction,Action,24-Apr-20,117,6.7,English
Giving Voice,Documentary,11-Dec-20,90,6.7,English
Hillbilly Elegy,Drama,24-Nov-20,117,6.7,English
Hope Frozen: A Quest to Live Twice,Documentary,15-Sep-20,80,6.7,Thia/English
Imperial Dreams,Drama,3-Feb-17,87,6.7,English
Just Another Christmas,Comedy,3-Dec-20,101,6.7,Portuguese
Little Miss Sumo,Documentary,28-Oct-19,19,6.7,Japanese
Malcolm & Marie,Romantic drama,5-Feb-21,106,6.7,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,7-Feb-17,54,6.7,English
Moxie,Drama,3-Mar-21,111,6.7,English
Night in Paradise,Drama,9-Apr-21,132,6.7,Korean
Paper Lives,Drama,12-Mar-21,97,6.7,Turkish
Parchis: The Documentary,Documentary,10-Jul-19,106,6.7,Spanish
Tallulah,Comedy-drama,29-Jul-16,111,6.7,English
The Old Guard,Superhero/Action,10-Jul-20,124,6.7,English
Tony Robbins: I Am Not Your Guru,Documentary,July 15. 2016,116,6.7,English
Upstarts,Drama,18-Oct-19,112,6.7,Hindi
Bad Trip,Hidden-camera prank comedy,26-Mar-21,86,6.6,English
Bird Box,Psychological thriller,21-Dec-18,124,6.6,English
Bulbbul,Horror,24-Jun-20,94,6.6,Hindi
Crazy About Her,Romantic comedy,26-Feb-21,102,6.6,Spanish
Elisa & Marcela,Romance,7-Jun-19,118,6.6,Spanish
I'll Sleep When I'm Dead,Documentary,19-Aug-16,79,6.6,English
I'm Thinking of Ending Things,Psychological thriller,4-Sep-20,134,6.6,English
It Takes a Lunatic,Documentary,25-Oct-19,126,6.6,English
Milestone,Drama,7-May-21,98,6.6,Hindi
Recovery Boys,Documentary,29-Jun-18,89,6.6,English
ReMastered: Who Killed Jam Master Jay?,Documentary,7-Dec-18,58,6.6,English
Shawn Mendes: In Wonder,Documentary,23-Nov-20,83,6.6,English
Space Sweepers,Science fiction,5-Feb-21,136,6.6,Korean
The American Meme,Documentary,7-Dec-18,98,6.6,English
The Angel,Spy thriller,14-Sep-18,114,6.6,English
The Crimes That Bind,Crime drama,20-Aug-20,99,6.6,Spanish
The Red Sea Diving Resort,Spy thriller,31-Jul-19,130,6.6,English
What Would Sophia Loren Do?,Documentary,15-Jan-21,32,6.6,English
A 3 Minute Hug,Documentary,28-Oct-19,28,6.5,English/Spanish
All the Bright Places,Romance,28-Feb-20,108,6.5,English
All Together Now,Drama,28-Aug-20,93,6.5,English
Altered Carbon: Resleeved,Anime/Science fiction,19-Mar-20,74,6.5,Japanese
Antoine Griezmann: The Making of a Legend,Documentary,21-Mar-19,60,6.5,French
Canvas ,Animation / Short,11-Dec-20,9,6.5,English
Chadwick Boseman: Portrait of an Artist,Documentary,17-Apr-21,21,6.5,English
Chopsticks,Comedy,31-May-19,100,6.5,Hindi
Da 5 Bloods,War drama,12-Jun-20,155,6.5,English
Dolly Parton: A MusiCares Tribute,Documentary,7-Apr-21,55,6.5,English
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,26-Jun-20,123,6.5,English
Gerald's Game,Horror thriller,29-Sep-17,103,6.5,English
His House,Thriller,30-Oct-20,93,6.5,English
Jingle Jangle: A Christmas Journey,Family/Christmas musical,13-Nov-20,119,6.5,English
Life Overtakes Me,Documentary,14-Jun-19,40,6.5,English/Swedish
Lust Stories,Drama,15-Jun-18,120,6.5,Hindi
Monster,Drama,7-May-21,98,6.5,English
Mowgli: Legend of the Jungle,Adventure,7-Dec-18,104,6.5,English
Nobody Knows I'm Here,Drama,24-Jun-20,91,6.5,Spanish
Nobody Speak: Trials of the Free Press,Documentary,23-Jun-17,95,6.5,English
Oxygen,Science fiction thriller,12-May-21,101,6.5,French
Set It Up,Romantic comedy,15-Jun-18,105,6.5,English
The Incredible Jessica James,Comedy,28-Jul-17,83,6.5,English
Tigertail,Drama,10-Apr-20,91,6.5,English/Taiwanese/Mandarin
Tramps,Romance,21-Apr-17,83,6.5,English
What Did Jack Do?,Drama / Short,20-Jan-20,17,6.5,English
Anelka: Misunderstood,Documentary,5-Aug-20,94,6.4,French
"Ariana Grande: Excuse Me, I Love You",Concert Film,21-Dec-20,97,6.4,English
ARQ,Science fiction/Thriller,16-Sep-16,88,6.4,English
Birders,Documentary,25-Sep-19,37,6.4,English/Spanish
Como CaÌdo del Cielo,Musical comedy,24-Dec-19,112,6.4,Spanish
First Match,Sports-drama,30-Mar-18,102,6.4,English
Fractured,Thriller,11-Oct-19,100,6.4,English
Irreplaceable You,Drama,16-Feb-18,96,6.4,English
Isi & Ossi,Romantic comedy,14-Feb-20,113,6.4,German
John Was Trying to Contact Aliens,Documentary,20-Aug-20,16,6.4,English
Layla Majnun,Romantic drama,11-Feb-21,119,6.4,Indonesian
Murder to Mercy: The Cyntoia Brown Story,Documentary,29-Apr-20,97,6.4,English
