Title,Genre,Premiere,Runtime,IMDB Score,Language
My Own Man,Documentary,13-Dec-14,81,6.4,English
Nappily Ever After,Comedy-drama,21-Sep-18,98,6.4,English
Over the Moon,Animation/Musical/Adventure,23-Oct-20,95,6.4,English
Street Flow,Drama,12-Oct-19,96,6.4,French
Strong Island,Documentary,September 15. 2017,107,6.4,English
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,27-Sep-19,41,6.4,English
Take Your Pills,Documentary,16-Mar-18,87,6.4,English
The Heartbreak Club,Comedy-drama,14-Jan-21,101,6.4,Indonesian
The Mars Generation,Documentary,5-May-17,97,6.4,English
The Occupant,Thriller,25-Mar-20,103,6.4,Spanish
The Willoughbys,Animation/Comedy/Adventure,22-Apr-20,90,6.4,English
Triple Frontier,Action-thriller,13-Mar-19,125,6.4,English
Two Catalonias,Documentary,28-Sep-18,116,6.4,Spanish/Catalan
Walk. Ride. Rodeo.,Drama,8-Mar-19,99,6.4,English
Wheelman,Action thriller,20-Oct-17,82,6.4,English
When We First Met,Romantic comedy,9-Feb-18,97,6.4,English
1922,Horror/Crime drama,20-Oct-17,102,6.3,English
A Tale of Two Kitchens,Documentary,22-May-19,30,6.3,English/Spanish
Alex Strangelove,Romantic comedy,8-Jun-18,99,6.3,English
Apostle,Horror-thriller,12-Oct-18,129,6.3,English
Benji,Family film,16-Mar-18,87,6.3,English
Bright,Urban fantasy,22-Dec-17,117,6.3,English
Cargo,Drama/Horror,18-May-18,104,6.3,English
Concrete Cowboy,Drama,2-Apr-21,111,6.3,English
Feel the Beat,Family/Comedy-drama,19-Jun-20,107,6.3,English
Get the Goat,Comedy,18-Mar-21,97,6.3,Portuguese
I Am Not an Easy Man,Romantic comedy,13-Apr-18,98,6.3,French
June & Kopi,Drama,28-Jan-21,90,6.3,Indonesian
Music Teacher,Drama,19-Apr-19,101,6.3,Hindi
Nail Bomber: Manhunt,Documentary,26-May-21,72,6.3,English
Notes for My Son,Drama,24-Nov-20,83,6.3,Spanish
Polar,Action,25-Jan-19,118,6.3,English
Porta dos Fundos: The Last Hangover,Comedy,21-Dec-18,44,6.3,Portuguese
Sand Castle,War,21-Apr-17,113,6.3,English
Shimmer Lake,Crime thriller,9-Jun-17,86,6.3,English
Spectral,Science fiction/Action,9-Dec-16,108,6.3,English
The Babysitter,Teen comedy horror,13-Oct-17,85,6.3,English
The Discovery,Science fiction/Drama,31-Mar-17,102,6.3,English
The Forest of Love,Drama,11-Oct-19,151,6.3,Japanese
The Laundromat,Comedy-drama,18-Oct-19,98,6.3,English
The Legend of Cocaine Island,Documentary,29-Mar-19,87,6.3,English
The Outsider,Crime drama,9-Mar-18,120,6.3,English/Japanese
Time to Hunt,Thriller,23-Apr-20,134,6.3,Korean
To All the Boys: Always and Forever,Romantic comedy,12-Feb-21,109,6.3,English
Travis Scott: Look Mom I Can Fly,Documentary,28-Aug-19,85,6.3,English
Uncorked,Drama,27-Mar-20,103,6.3,English
Alien Xmas,Stop Motion,20-Nov-20,42,6.2,English
Baggio: The Divine Ponytail,Biopic,26-May-21,92,6.2,Italian
Below Zero,Drama,29-Jan-21,106,6.2,Spanish
Citation,Drama,6-Nov-20,151,6.2,English
Crazy Awesome Teachers,Comedy-drama,17-Aug-20,101,6.2,Indonesian
Have You Ever Seen Fireflies?,Comedy,9-Apr-21,114,6.2,Turkish
High Flying Bird,Sports-drama,8-Feb-19,90,6.2,English
In the Shadow of the Moon,Thriller,27-Sep-19,115,6.2,English
Lost Bullet,Thriller,19-Jun-20,92,6.2,French
Octonauts & the Caves of Sac Actun,Animation,14-Aug-20,72,6.2,English
Offering to the Storm,Thriller,24-Jul-20,139,6.2,Spanish
Roxanne Roxanne,Biopic,23-Mar-18,98,6.2,English
Someone Great,Romantic comedy,19-Apr-19,92,6.2,English
Spenser Confidential,Action comedy,6-Mar-20,111,6.2,English
The Land of Steady Habits,Drama,14-Sep-18,98,6.2,English
The Rachel Divide,Documentary,27-Apr-18,104,6.2,English
Voyuer ,Documentary,1-Dec-17,95,6.2,English
Win It All,Comedy,7-Apr-17,88,6.2,English
6 Underground,Action,13-Dec-19,128,6.1,English
Between Two Ferns: The Movie,Comedy,20-Sep-19,82,6.1,English
Burning Sands,Drama,10-Mar-17,102,6.1,English
Casting JonBenet,Documentary,28-Apr-17,80,6.1,English
Deidra & Laney Rob a Train,Drama,17-Mar-17,94,6.1,English
Finding 'Ohana,Family,29-Jan-21,123,6.1,English
Holidate,Romantic comedy/Holiday,28-Oct-20,104,6.1,English
Holiday in the Wild,Adventure-romance,1-Nov-19,85,6.1,English
Hot Girls Wanted,Documentary,29-May-15,84,6.1,English
Like Father,Comedy,3-Aug-18,103,6.1,English
Lost Girls,Crime drama,13-Mar-20,95,6.1,English
Otherhood,Comedy,2-Aug-19,100,6.1,English
Pee-wee's Big Holiday,Adventure,18-Mar-16,89,6.1,English
Rogue City,Crime drama,30-Oct-20,116,6.1,French
Sergio,Biopic,17-Apr-20,118,6.1,English
Stuck Apart,Drama,8-Jan-21,96,6.1,Turkish
Tersanjung the Movie,Drama,1-Apr-21,114,6.1,Indonesian
The Killer,Western,10-Nov-17,99,6.1,Portuguese
The Lovebirds,Romantic comedy,22-May-20,87,6.1,English
The Most Hated Woman in America,Biopic,24-Mar-17,92,6.1,English
The Perfection,Horror-thriller,24-May-19,90,6.1,English
Tribhanga ñ Tedhi Medhi Crazy,Drama,15-Jan-21,95,6.1,Hindi
Unknown Origins,Thriller,28-Aug-20,96,6.1,Spanish
Work It,Dance comedy,7-Aug-20,93,6.1,English
Come Sunday,Biopic,13-Apr-18,106,6,English
Forgive Us Our Debts,Drama,4-May-18,104,6,Italian
iBoy,Science fiction/Thriller,27-Jan-17,90,6,English
Lovefucked,Drama,9-Aug-19,106,6,Hindi
Juanita,Drama,8-Mar-19,90,6,English
Murder Mystery,Comedy mystery,14-Jun-19,97,6,English
Project Power,Superhero,14-Aug-20,113,6,English
Rebecca,Romantic thriller,21-Oct-20,123,6,English
The Christmas Chronicles: Part Two,Christmas comedy,25-Nov-20,115,6,English
The Kissing Booth,Romantic comedy,11-May-18,105,6,English
The Princess Switch,Romantic comedy,16-Nov-18,101,6,English
To All the Boys: P.S. I Still Love You,Romantic comedy,12-Feb-20,102,6,English
War Machine,War-Comedy,26-May-17,122,6,English
6 Balloons,Drama,6-Apr-18,75,5.9,English
A Fall from Grace,Thriller,17-Jan-20,120,5.9,English
Amateur,Sports-drama,6-Apr-18,96,5.9,English
Army of the Dead,Zombie/Heist,21-May-21,148,5.9,English
Cam,Psychological horror,16-Nov-18,94,5.9,English
Earthquake Bird,Mystery,15-Nov-19,107,5.9,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,16-Jul-19,32,5.9,English
Horse Girl,Drama,7-Feb-20,104,5.9,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,28-Sep-18,23,5.9,English
Maska,Romantic comedy,27-Mar-20,111,5.9,Hindi
The Decline,Thriller,27-Mar-20,83,5.9,French
The Minimalists: Less Is Now,Documentary,1-Jan-21,53,5.9,English
The Polka King,Comedy-drama,12-Jan-18,95,5.9,English
The Prom,Musical,11-Dec-20,132,5.9,English
True Memoirs of an International Assassin,Action comedy,11-Nov-16,98,5.9,English
Ultras,Sports film,20-Mar-20,108,5.9,Italian
15-Aug,Comedy-drama,29-Mar-19,124,5.8,Marathi
A California Christmas,Romantic comedy,14-Dec-20,107,5.8,English
A Christmas Prince,Romantic comedy,17-Nov-17,92,5.8,English
All Day and a Night,Drama,1-May-20,121,5.8,English
American Son,Drama,1-Nov-19,90,5.8,English
Barry,Biopic,16-Dec-16,104,5.8,English
Candy Jar,Comedy,27-Apr-18,92,5.8,English
Choked: Paisa Bolta Hai,Drama,5-Jun-20,114,5.8,Hindi
Class of '83,Drama,21-Aug-20,98,5.8,Hindi
Extinction,Science fiction/Thriller,27-Jul-18,95,5.8,English
Happy Anniversary,Romantic comedy,30-Mar-18,78,5.8,English
I Am All Girls,Thriller,14-May-21,107,5.8,English
Let It Snow,Romantic comedy,8-Nov-19,92,5.8,English
Mascots,Mockumentary,13-Oct-16,95,5.8,English
Operation Christmas Drop,Romantic comedy,5-Nov-20,96,5.8,English
Rajma Chawal,Comedy-drama,30-Nov-18,118,5.8,Hindi
Rich in Love,Romantic comedy,30-Apr-20,105,5.8,Portuguese
Rising High,Satire,17-Apr-20,94,5.8,German
Rodney King,One-man show,28-Apr-17,52,5.8,English
Sierra Burgess Is a Loser,Romantic comedy-drama,7-Sep-18,105,5.8,English
Small Crimes,Dark comedy,28-Apr-17,95,5.8,English
Special Correspondents,Satire,29-Apr-16,100,5.8,English
TAU,Science fiction/Thriller,29-Jun-18,97,5.8,English
The After Party,Comedy,24-Aug-18,89,5.8,English
The Babysitter: Killer Queen,Comedy/Horror,10-Sep-20,102,5.8,English
The Claus Family,Fantasy,7-Dec-20,96,5.8,Dutch
The Kissing Booth 2,Romantic comedy,24-Jul-20,131,5.8,English
The Perfect Date,Romantic comedy,12-Apr-19,89,5.8,English
What We Wanted,Drama,11-Nov-20,93,5.8,German
You've Got This,Romantic comedy,2-Oct-20,111,5.8,Spanish
A Week Away,Christian musical,26-Mar-21,97,5.7,English
Caught by a Wave,Romantic teen drama,25-Mar-21,99,5.7,Italian
Christmas Inheritance,Romantic drama,15-Dec-17,104,5.7,English
Dad Wanted,Family,11-Sep-20,102,5.7,Spanish
El Camino Christmas,Dark comedy,8-Dec-17,89,5.7,English
Eli,Horror,18-Oct-19,98,5.7,English
Ginny Weds Sunny,Romantic comedy,9-Oct-20,125,5.7,Hindi
Good Sam,Drama,16-May-19,89,5.7,English
Lionheart,Comedy,4-Jan-19,94,5.7,English
Little Evil,Comedy horror,1-Sep-17,94,5.7,English
One Take,Documentary,18-Jun-20,85,5.7,Thai
"Out of Many, One",Documentary,12-Dec-18,34,5.7,English
Point Blank,Action,12-Jul-19,86,5.7,English
Prime Time,Thriller,14-Apr-21,91,5.7,Polish
The Do-Over,Action comedy,27-May-16,108,5.7,English
The Holiday Calendar,Romantic comedy,2-Nov-18,95,5.7,English
The Woman in the Window,Psychological thriller,14-May-21,100,5.7,English
The Wrong Missy,Comedy,13-May-20,90,5.7,English
Velvet Buzzsaw,Thriller,1-Feb-19,112,5.7,English
Yes Day,Comedy,12-Mar-21,86,5.7,English
Bomb Scared,Black comedy,12-Oct-17,89,5.6,Spanish/Basque
Brahman Naman,Comedy,7-Jul-16,95,5.6,English
Double Dad,Comedy-drama,15-Jan-21,103,5.6,Portuguese
Falling Inn Love,Romantic comedy,29-Aug-19,97,5.6,English
Hold the Dark,Thriller,28-Sep-18,125,5.6,English
"Love, Guaranteed",Romantic comedy,3-Sep-20,91,5.6,English
One-Way to Tomorrow,Romance,19-Jun-20,90,5.6,Turkish
Sarah Cooper: Everything's Fine,Variety show,27-Oct-20,49,5.6,English
The Last Laugh,Comedy-drama,11-Jan-19,98,5.6,English
The Last Paradiso,Romantic drama,5-Feb-21,107,5.6,Italian
The Midnight Sky,Science fiction,23-Dec-20,118,5.6,English
The Paramedic,Thriller,16-Sep-20,94,5.6,Spanish
The Sleepover,Comedy,21-Aug-20,103,5.6,English
Vampires vs. the Bronx,Horror comedy,2-Oct-20,86,5.6,English
Why Did You Kill Me?,Documentary,14-Apr-21,83,5.6,English
A Very Murray Christmas,Comedy / Musical,4-Dec-15,56,5.5,English
Been So Long,Musical,26-Oct-18,100,5.5,English
Dead Kids,Thriller,1-Dec-19,94,5.5,Filipino
Get the Grift,Comedy,28-Apr-21,94,5.5,Portuguese
Ghosts of Sugar Land,Documentary,October 16. 2019,21,5.5,English
House Arrest,Comedy,15-Nov-19,104,5.5,Hindi
Kevin Hart's Guide to Black History,Variety show,8-Feb-19,63,5.5,English
Love Wedding Repeat,Romantic comedy,10-Apr-20,100,5.5,English
Mute,Science fiction/Mystery,23-Feb-18,126,5.5,English
“lÚt?rÈ,Crime drama,2-Oct-20,106,5.5,English
Red Dot,Thriller,11-Feb-21,86,5.5,Swedish
Ride or Die,Psychological thriller drama,15-Apr-21,142,5.5,Japanese
Step Sisters,Comedy,19-Jan-18,108,5.5,English
The Cloverfield Paradox,Science fiction,4-Feb-18,102,5.5,English
The Knight Before Christmas,Romantic comedy,21-Nov-19,92,5.5,English
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,6-Jul-18,83,5.5,English
The Package,Black comedy,10-Aug-18,94,5.5,English
Unicorn Store,Comedy,5-Apr-19,92,5.5,English
Wine Country,Comedy,10-May-19,103,5.5,English
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,15-Oct-20,98,5.4,English
A Christmas Prince: The Royal Baby,Romantic comedy,5-Dec-19,85,5.4,English
Despite Everything,Comedy,3-May-19,78,5.4,Spanish
Dolly Kitty and Those Twinkling Stars,Drama,18-Sep-20,120,5.4,Hindi
Freaks: You're One of Us,Supernatural drama,2-Sep-20,92,5.4,German
"Game Over, Man!",Action/Comedy,23-Mar-18,101,5.4,English
Guilty,Thriller,6-Mar-20,119,5.4,Hindi
In the Tall Grass,Horror,4-Oct-19,101,5.4,English
Madame Claude,Drama,2-Apr-21,112,5.4,French
Naked,Comedy,11-Aug-17,96,5.4,English
Outside the Wire,Action/Science fiction,15-Jan-21,114,5.4,English
The Princess Switch: Switched Again,Romantic comedy,19-Nov-20,97,5.4,English
Under the Riccione Sun,Romantic teenage drama,1-Jul-20,101,5.4,Italian
A Christmas Prince: The Royal Wedding,Romantic comedy,30-Nov-18,92,5.3,English
Back to School,Comedy,30-Aug-19,83,5.3,French
Dangerous Lies,Thriller,30-Apr-20,97,5.3,English
Gunjan Saxena: The Kargil Girl,Drama,12-Aug-20,112,5.3,Hindi
Intuition,Thriller,28-May-20,116,5.3,Spanish
The Most Assassinated Woman in the World,Thriller,7-Sep-18,102,5.3,French
Things Heard & Seen,Horror,29-Apr-21,121,5.3,English
"To Each, Her Own",Romantic comedy,24-Jun-18,95,5.3,French
Who Would You Take to a Deserted Island?,Drama,12-Apr-19,93,5.3,Spanish
XOXO,Drama,26-Aug-16,92,5.3,English
#REALITYHIGH,Comedy,8-Sep-17,99,5.2,English
American Factory: A Conversation with the Obamas ,Aftershow / Interview,21-Aug-19,10,5.2,English
Desperados,Romantic comedy,3-Jul-20,106,5.2,English
Dolly Parton's Christmas on the Square,Christmas musical,22-Nov-20,98,5.2,English
Father of the Year,Comedy,20-Jul-18,94,5.2,English
Firebrand,Drama,22-Feb-19,112,5.2,Marathi
Ghost Lab,Horror,26-May-21,117,5.2,Thai
Girlfriend's Day,Comedy,14-Feb-17,70,5.2,English
Handsome: A Netflix Mystery Movie,Comedy,5-May-17,81,5.2,English
Hubie Halloween,Comedy,7-Oct-20,103,5.2,English
Ibiza,Comedy,25-May-18,94,5.2,English
Rim of the World,Science fiction adventure,24-May-19,98,5.2,English
Sandy Wexler,Comedy,14-Apr-17,131,5.2,English
See You Yesterday,Science fiction,17-May-19,87,5.2,English
Still Laugh-In: The Stars Celebrate,Variety show,14-May-19,60,5.2,English
"Strip Down, Rise Up",Documentary,5-Feb-21,112,5.2,English
Tall Girl,Comedy-drama,13-Sep-19,102,5.2,English
The Beast,Drama,27-Nov-20,99,5.2,Italian
The Week Of,Comedy,27-Apr-18,116,5.2,English
Cadaver,Horror,22-Oct-20,86,5.1,Norwegian
Clinical,Thriller,13-Jan-17,104,5.1,English
Coffee & Kareem,Action comedy,3-Apr-20,88,5.1,English
Dude,Teen comedy-drama,20-Apr-18,97,5.1,English
Geez & Ann,Romantic drama,25-Feb-21,105,5.1,Indonesian
The Larva Island Movie,Animation,23-Jul-20,90,5.1,English
Airplane Mode,Comedy,23-Jan-20,96,5,Portuguese
How It Ends,Action-thriller,13-Jul-18,113,5,English
Love Like the Falling Rain,Drama,15-Oct-20,86,5,Indonesian
Rebirth,Thriller,15-Jul-16,100,5,English
Squared Love,Romantic comedy,11-Feb-21,102,5,Polish
Earth and Blood,Action,17-Apr-20,80,4.9,French
Fearless,Animation/Superhero,14-Aug-20,89,4.9,English
Holiday Rush,Family film,28-Nov-19,94,4.9,English
The Day of the Lord,Drama,30-Oct-20,93,4.9,Spanish
Christmas Crossfire,Thriller,4-Dec-20,106,4.8,German
Coin Heist,Heist,6-Jan-17,97,4.8,English
Mrs. Serial Killer,Thriller,1-May-20,106,4.8,Hindi
Nobody Sleeps in the Woods Tonight,Horror,28-Oct-20,103,4.8,Polish
Take the 10,Comedy,20-Jan-17,80,4.8,English
The Main Event,Comedy,10-Apr-20,101,4.8,English
The Ridiculous 6,Western,11-Dec-15,119,4.8,English
Finding Agnes,Drama,30-Nov-20,105,4.7,Filipino
IO,Science fiction/Drama,18-Jan-19,95,4.7,English
Sentinelle,Action,5-Mar-21,80,4.7,French
Sol Levante,Anime / Short,2-Apr-20,4,4.7,English
The Binding,Drama,2-Oct-20,93,4.7,Italian
We Can Be Heroes,Superhero,25-Dec-20,100,4.7,English
5 Star Christmas,Comedy,7-Dec-18,95,4.6,Italian
After Maria,Documentary,24-May-19,37,4.6,English/Spanish
I Am the Pretty Thing That Lives in the House,Horror,28-Oct-16,89,4.6,English
Paris Is Us,Romance drama,22-Feb-19,83,4.6,French
Porta dos Fundos: The First Temptation of Christ,Comedy,3-Dec-19,46,4.6,Portuguese
Rattlesnake,Horror,25-Oct-19,85,4.6,English
The Players,Comedy,15-Jul-20,88,4.6,Italian
We Are One,Documentary,14-Jul-20,86,4.6,French
Fatal Affair,Thriller,16-Jul-20,89,4.5,English
Just Say Yes,Romantic comedy,2-Apr-21,97,4.5,Dutch
Seriously Single,Comedy,31-Jul-20,107,4.5,English
The Misadventures of Hedi and Cokeman,Comedy,10-Feb-21,99,4.5,French
Death Note,Horror thriller,25-Aug-17,100,4.4,English
"Hello Privilege. It's Me, Chelsea",Documentary,13-Sep-19,64,4.4,English
Secret Obsession,Thriller,18-Jul-19,97,4.4,English
Sextuplets,Comedy,16-Aug-19,99,4.4,English
The Girl on the Train,Thriller,26-Feb-21,120,4.4,Hindi
Thunder Force,Superhero-Comedy,9-Apr-21,105,4.4,English
After the Raid,Documentary,19-Dec-19,25,4.3,Spanish
Ghost Stories,Horror anthology,1-Jan-20,144,4.3,Hindi
The Last Thing He Wanted,Political thriller,21-Feb-20,115,4.3,English
What Happened to Mr. Cha?,Comedy,1-Jan-21,102,4.3,Korean
All Because of You,Action comedy,1-Oct-20,101,4.2,Malay
Mercy,Thriller,22-Nov-16,90,4.2,English
Sardar Ka Grandson,Comedy,18-May-21,139,4.1,Hindi
Searching for Sheela,Documentary,22-Apr-21,58,4.1,English
The Call,Drama,27-Nov-20,112,4.1,Korean
Whipped,Romantic comedy,18-Sep-20,97,4.1,Indonesian
Paradox,Musical/Western/Fantasy,23-Mar-18,73,3.9,English
Leyla Everlasting,Comedy,4-Dec-20,112,3.7,Turkish
The Last Days of American Crime,Heist film/Thriller,5-Jun-20,149,3.7,English
Drive,Action,1-Nov-19,147,3.5,Hindi
Kaali Khuhi,Mystery,30-Oct-20,90,3.4,Hindi
The Open House,Horror thriller,19-Jan-18,94,3.2,English
Dark Forces,Thriller,21-Aug-20,81,2.6,Spanish
The App,Science fiction/Drama,26-Dec-19,79,2.6,Italian
Enter the Anime,Documentary,5-Aug-19,58,2.5,English/Japanese